name,year,mean_trash,population,mean_trash_std_ton,mean_trash_std_kg,cumsum,cumsum17
Berlin,2011,1852339,3302174,0.560945304517569,560.945304517569,2869.3964242362,6766.03498583308
Berlin,2012,2044468,3350612,0.610177483993969,610.177483993969,3479.57390823017,6766.03498583308
Berlin,2013,2177667,3398526,0.640768085929017,640.768085929018,4120.34199415919,6766.03498583308
Berlin,2014,2299064,3445839,0.667200063612955,667.200063612955,4787.54205777214,6766.03498583308
Berlin,2015,2368761,3494940,0.67776871705952,677.76871705952,5465.31077483166,6766.03498583308
Berlin,2016,2321546,3547431,0.654430205971589,654.430205971589,6119.74098080325,6766.03498583308
Berlin,2017,2322886,3594163,0.646294005029822,646.294005029822,6766.03498583308,6766.03498583308
Brandenburg,2006,4413042,2552747,1.72874240964733,1728.74240964733,1728.74240964733,22060.0689900825
Brandenburg,2007,5111461,2541628,2.01109721800358,2011.09721800358,3739.83962765091,22060.0689900825
Brandenburg,2008,4900768,2529380,1.93753726209585,1937.53726209585,5677.37688974676,22060.0689900825
Brandenburg,2009,4764603,2516237,1.89354301681439,1893.54301681439,7570.91990656116,22060.0689900825
Brandenburg,2010,4573035,2507551,1.82370567936604,1823.70567936604,9394.6255859272,22060.0689900825
Brandenburg,2011,4666149,2457211,1.89896146484775,1898.96146484775,11293.5870507749,22060.0689900825
Brandenburg,2012,4427280,2451346,1.80606083351759,1806.06083351759,13099.6478842925,22060.0689900825
Brandenburg,2013,4418469,2449352,1.80393385679151,1803.93385679151,14903.581741084,22060.0689900825
Brandenburg,2014,4597931,2453533,1.87400414015218,1874.00414015218,16777.5858812362,22060.0689900825
Brandenburg,2015,4527831,2471349,1.83212933503119,1832.12933503119,18609.7152162674,22060.0689900825
Brandenburg,2016,4387038,2489737,1.76204876258014,1762.04876258014,20371.7639788476,22060.0689900825
Brandenburg,2017,4219655,2499344,1.68830501123495,1688.30501123495,22060.0689900825,22060.0689900825
Bremen,2006,911021,664275,1.37145158255241,1371.45158255241,1371.45158255241,17502.531390319
Bremen,2007,961614,663340,1.44965477733892,1449.65477733892,2821.10635989133,17502.531390319
Bremen,2008,967796,662033,1.46185462054006,1461.85462054006,4282.96098043139,17502.531390319
Bremen,2009,915671,660945,1.38539666689361,1385.39666689361,5668.35764732501,17502.531390319
Bremen,2010,955183,660437,1.44628935083891,1446.28935083891,7114.64699816392,17502.531390319
